RXNORM code	 RXNORM uri	 RXNORM label	 SNOMED code	 SNOMED uri	 SNOMED label
308136	http://purl.bioontology.org/ontology/RXNORM/308136	amlodipine 2.5 MG Oral Tablet	1153431000	http://purl.bioontology.org/ontology/SNOMEDCT/1153431000	Amlodipine (as amlodipine besylate) 2.5 mg oral tablet
310965	http://purl.bioontology.org/ontology/RXNORM/310965	ibuprofen 200 MG Oral Tablet	1162422005	http://purl.bioontology.org/ontology/SNOMEDCT/1162422005	Ibuprofen (as ibuprofen sodium) 200 mg oral tablet
309309	http://purl.bioontology.org/ontology/RXNORM/309309	ciprofloxacin 500 MG Oral Tablet	783330006	http://purl.bioontology.org/ontology/SNOMEDCT/783330006	Ciprofloxacin (as ciprofloxacin hydrochloride) 500 mg oral tablet
314231	http://purl.bioontology.org/ontology/RXNORM/314231	simvastatin 10 MG Oral Tablet	319996000	http://purl.bioontology.org/ontology/SNOMEDCT/319996000	Simvastatin 10 mg oral tablet
310798	http://purl.bioontology.org/ontology/RXNORM/310798	hydrochlorothiazide 25 MG Oral Tablet	376209006	http://purl.bioontology.org/ontology/SNOMEDCT/376209006	Hydrochlorothiazide 25 mg oral tablet
314076	http://purl.bioontology.org/ontology/RXNORM/314076	lisinopril 10 MG Oral Tablet	318859000	http://purl.bioontology.org/ontology/SNOMEDCT/318859000	Lisinopril 10 mg oral tablet
630208	http://purl.bioontology.org/ontology/RXNORM/630208	albuterol 0.83 MG/ML Inhalation Solution	376561007	http://purl.bioontology.org/ontology/SNOMEDCT/376561007	Albuterol (as albuterol sulfate) 830 microgram/mL solution for inhalation
198335	http://purl.bioontology.org/ontology/RXNORM/198335	sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet	324359004	http://purl.bioontology.org/ontology/SNOMEDCT/324359004	Sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet
856987	http://purl.bioontology.org/ontology/RXNORM/856987	acetaminophen 300 MG / hydrocodone bitartrate 5 MG Oral Tablet	420397007	http://purl.bioontology.org/ontology/SNOMEDCT/420397007	Acetaminophen 300 mg and hydrocodone bitartrate 5 mg oral tablet
310325	http://purl.bioontology.org/ontology/RXNORM/310325	ferrous sulfate 325 MG Oral Tablet	895498001	http://snomed.info/id/895498001	Ferrous sulfate 325 mg prolonged-release oral tablet
834102	http://purl.bioontology.org/ontology/RXNORM/834102	penicillin V potassium 500 MG Oral Tablet	1231308002	http://purl.bioontology.org/ontology/SNOMEDCT/1231308002	Penicillin V (as penicillin V potassium) 500 mg oral tablet
308182	http://purl.bioontology.org/ontology/RXNORM/308182	amoxicillin 250 MG Oral Capsule	323509004	http://purl.bioontology.org/ontology/SNOMEDCT/323509004	Amoxicillin 250 mg oral capsule
309362	http://purl.bioontology.org/ontology/RXNORM/309362	clopidogrel 75 MG Oral Tablet	783586007	http://purl.bioontology.org/ontology/SNOMEDCT/783586007	Clopidogrel (as clopidogrel bisulfate) 75 mg oral tablet
312961	http://purl.bioontology.org/ontology/RXNORM/312961	simvastatin 20 MG Oral Tablet	319997009	http://purl.bioontology.org/ontology/SNOMEDCT/319997009	Simvastatin 20 mg oral tablet
866412	http://purl.bioontology.org/ontology/RXNORM/866412	24 HR metoprolol succinate 100 MG Extended Release Oral Tablet	879980009	http://purl.bioontology.org/ontology/SNOMEDCT/879980009	Metoprolol tartrate (as metoprolol succinate) 100 mg prolonged-release oral tablet
705129	http://purl.bioontology.org/ontology/RXNORM/705129	nitroglycerin 0.4 MG/ACTUAT Mucosal Spray	425176000	http://purl.bioontology.org/ontology/SNOMEDCT/425176000	Nitroglycerin 400 microgram/actuation sublingual spray
1665060	http://purl.bioontology.org/ontology/RXNORM/1665060	cefazolin 2000 MG Injection	1287106002	http://purl.bioontology.org/ontology/SNOMEDCT/1287106002	Cefazolin (as cefazolin sodium) 2 g powder for solution for infusion and/or injection vial
1740467	http://purl.bioontology.org/ontology/RXNORM/1740467	2 ML ondansetron 2 MG/ML Injection	782032003	http://snomed.info/id/782032003	Ondansetron (as ondansetron hydrochloride) 2 mg/mL solution for injection
1234995	http://purl.bioontology.org/ontology/RXNORM/1234995	rocuronium bromide 10 MG/ML Injectable Solution	782091007	http://purl.bioontology.org/ontology/SNOMEDCT/782091007	Rocuronium bromide 10 mg/mL solution for injection
542347	http://purl.bioontology.org/ontology/RXNORM/542347	isoflurane 999 MG/ML Inhalation Solution	784978007	http://purl.bioontology.org/ontology/SNOMEDCT/784978007	Isoflurane 999 mg/mL solution for inhalation
904419	http://purl.bioontology.org/ontology/RXNORM/904419	alendronic acid 10 MG Oral Tablet	783144007	http://purl.bioontology.org/ontology/SNOMEDCT/783144007	Alendronic acid (as alendronate sodium) 10 mg oral tablet
198440	http://purl.bioontology.org/ontology/RXNORM/198440	acetaminophen 500 MG Oral Tablet	322236009	http://purl.bioontology.org/ontology/SNOMEDCT/322236009	Acetaminophen 500 mg oral tablet
313988	http://purl.bioontology.org/ontology/RXNORM/313988	furosemide 40 MG Oral Tablet	317972000	http://purl.bioontology.org/ontology/SNOMEDCT/317972000	Furosemide 40 mg oral tablet
200033	http://purl.bioontology.org/ontology/RXNORM/200033	carvedilol 25 MG Oral Tablet	318632005	http://purl.bioontology.org/ontology/SNOMEDCT/318632005	Carvedilol 25 mg oral tablet
314077	http://purl.bioontology.org/ontology/RXNORM/314077	lisinopril 20 MG Oral Tablet	318860005	http://purl.bioontology.org/ontology/SNOMEDCT/318860005	Lisinopril 20 mg oral tablet
979492	http://purl.bioontology.org/ontology/RXNORM/979492	losartan potassium 50 MG Oral Tablet	318956006	http://purl.bioontology.org/ontology/SNOMEDCT/318956006	Losartan potassium 50 mg oral tablet
861467	http://purl.bioontology.org/ontology/RXNORM/861467	meperidine hydrochloride 50 MG Oral Tablet	783110000	http://purl.bioontology.org/ontology/SNOMEDCT/783110000	Meperidine hydrochloride 50 mg oral tablet
243670	http://purl.bioontology.org/ontology/RXNORM/243670	aspirin 81 MG Oral Tablet	765570009	http://snomed.info/id/765570009	Aspirin 81 mg gastro-resistant oral tablet
197380	http://purl.bioontology.org/ontology/RXNORM/197380	atenolol 25 MG Oral Tablet	318434003	http://purl.bioontology.org/ontology/SNOMEDCT/318434003	Atenolol 25 mg oral tablet
200345	http://purl.bioontology.org/ontology/RXNORM/200345	simvastatin 80 MG Oral Tablet	320006003	http://purl.bioontology.org/ontology/SNOMEDCT/320006003	Simvastatin 80 mg oral tablet
